Lot #,Vehicle ID,Tow Reference ,Year,Make,Model,VIN,Mileage,Reason,K,Comments
280,2706967,14316,2001,MITSUBISHI,ECLIPSE,4A3AE85H91E061593,,ACCIDENT,,
270,2718709,14810,1993,DODGE,SHADOW,1B3XP24D8PN507312,,STOLEN,,
285,2696660,900771,1999,CHEVROLET,CAVALIER,1G1JF12T0X7108225,,KCIPD,,
236,2727563,15213,2006,PONTIAC,GRAND PRIX,2G2WP552561144674,,ACCIDENT,,
350,2696640,900801,1987,TOYOTA,MR-2,JT2AW15C8H0120788,,KCIPD,,
358,2722829,15006,2005,FORD,EXPLORER,1FMZU63K75ZA44703,,ARREST,K,
166,2729178,15294,2000,HYUNDAI,TIBURON,KMHJG25F0YU175969,,ABANDONED,,
125,2736977,15641,2003,CHEVROLET,MALIBU,1G1ND52J43M681590,,ACCIDENT,,
9,2649919,11712,1995,CHEVROLET,CAMARO,2G1FP22S3S2192511,,OTHER,,
194,2727106,15198,2000,DODGE,STRATUS,1B3EJ56HXYN232411,,ABANDONED,,
24,2735571,15576,2006,HONDA,CIVIC,1HGFA16836L061345,,ACCIDENT,,
302,2698776,13957,2006,SATURN,ION,1G8AW15F66Z108935,,ACCIDENT,K,
46,2702723,14143,2002,FORD,EXPLORER,1FMZU72K72ZC83641,,ACCIDENT,,
487,2733328,15486,1992,CHEVROLET,CAVALIER,1G1JF14T2N7242826,,ILLEGALLY PARKED,,
352,2696635,900798,2000,PLYMOUTH,BREEZE,1P3EJ46X9YN138620,,KCIPD,,
517,2709209,14411,2005,CHEVROLET,MALIBU MAXX,1G1ZT62845F165292,,STOLEN,,
332,2696719,900787,1996,FORD,MUSTANG,1FALP45X7TF193065,,KCIPD,,
37,2702639,14138,2002,VOLKSWAGEN,GOLF,9BWGB61JX24064406,,ACCIDENT,,
441,2712179,14551,2001,CHEVROLET,TAHOE,1GNEK13T91R205056,,ABANDONED,,
255,2719852,14874,2004,KIA,SORENTO,KNDJD733245313258,,ACCIDENT,,
207,2722469,14989,2012,KIA,FORTE,KNAFU4A25C5514243,,ACCIDENT,,
485,2725007,15107,2001,SATURN,L SERIES,1G8JU52F11Y558539,,ACCIDENT,,
516,2709288,14412,2001,FORD,F150,1FTZX172X1NB68202,,ACCIDENT,K,
378,2714669,14658,2001,INFINITI,I30,JNKCA31A71T018433,,ILLEGALLY PARKED,,
25,2733835,15509,2008,SATURN,AURA,1G8ZS57B18F295795,,ABANDONED,,
40,2703251,14166,2002,TOYOTA,COROLLA,1NXBR12E12Z598099,,ACCIDENT,K,
226,2730518,15354,2005,FORD,FOCUS,1FAHP34N45W291831,,ACCIDENT,,
451,2697257,13906,2003,FORD,F150,1FTRX17L63NB30669,,ABANDONED,K,
440,2711879,14530,2001,LEXUS,RX 300,JTJHF10U410201876,,ACCIDENT,,
